assay,serotype,vaccine,dose_description,gmc_or_gmt,pct_threshold_responders,threshold,N,sigma_ln,se_ln,derived_lower_limit,derived_upper_limit,status
GMC,23F,PCV7,1m post primary child,4.44,98.56,0.35,487,1.1620,0.0527,4.00,4.92,DERIVED_lognormal
GMC,9V,PCV7,1m post primary child,4.47,99.79,0.35,487,0.8898,0.0403,4.13,4.84,DERIVED_lognormal
GMC,19A,PCV13 (Walvax),1m post primary child,3.85,100.0,0.35,471,,,NA,NA,LEFT_NA_ceiling_or_floor
OPA,19A,PCV7,1m post primary child,11.5,44.79,8.0,96,,,NA,NA,LEFT_NA_invalid_sign
OPA,1,PCV7,1m post primary child,2.0,0.0,8.0,96,,,NA,NA,LEFT_NA_ceiling_or_floor
OPA,9V,PCV13 (Walvax),1m post primary child,1922.48,100.0,8.0,93,,,NA,NA,LEFT_NA_ceiling_or_floor
OPA,3,PCV13 (Walvax),1m post primary child,511.7,96.77,8.0,93,2.2501,0.2333,323.89,808.40,DERIVED_lognormal
OPA,3,PCV7,1m post primary child,2.8,15.63,8.0,96,1.0397,0.1061,2.27,3.45,DERIVED_lognormal
OPA,19F,PCV7,1m post primary child,540.56,97.92,8.0,96,2.0678,0.2110,357.44,817.50,DERIVED_lognormal
OPA,18C,PCV13 (Walvax),1m post primary child,1356.26,100.0,8.0,93,,,NA,NA,LEFT_NA_ceiling_or_floor
OPA,5,PCV7,1m post primary child,2.24,4.17,8.0,96,0.7353,0.0750,1.93,2.59,DERIVED_lognormal
OPA,6A,PCV7,1m post primary child,275.54,80.21,8.0,96,4.1681,0.4254,119.70,634.30,DERIVED_lognormal
OPA,5,PCV13 (Walvax),1m post primary child,450.24,98.92,8.0,93,1.7544,0.1819,315.20,643.13,DERIVED_lognormal
OPA,4,PCV13 (Walvax),1m post primary child,1227.93,100.0,8.0,93,,,NA,NA,LEFT_NA_ceiling_or_floor
OPA,19A,PCV13 (Walvax),1m post primary child,777.7,100.0,8.0,93,,,NA,NA,LEFT_NA_ceiling_or_floor
OPA,14,PCV7,1m post primary child,5594.48,100.0,8.0,96,,,NA,NA,LEFT_NA_ceiling_or_floor
OPA,6B,PCV7,1m post primary child,2928.36,98.96,8.0,96,2.5535,0.2606,1757.03,4880.55,DERIVED_lognormal
OPA,23F,PCV13 (Walvax),1m post primary child,2090.78,95.7,8.0,93,3.2418,0.3362,1081.84,4040.69,DERIVED_lognormal
OPA,18C,PCV7,1m post primary child,3129.49,98.96,8.0,96,2.5823,0.2636,1866.95,5245.83,DERIVED_lognormal
OPA,7F,PCV13 (Walvax),1m post primary child,7741.1,100.0,8.0,93,,,NA,NA,LEFT_NA_ceiling_or_floor
OPA,7F,PCV7,1m post primary child,12.76,37.5,8.0,96,,,NA,NA,LEFT_NA_invalid_sign
OPA,6B,PCV13 (Walvax),1m post primary child,528.67,89.25,8.0,93,3.3800,0.3505,265.98,1050.81,DERIVED_lognormal
OPA,6A,PCV13 (Walvax),1m post primary child,1079.96,97.85,8.0,93,2.4239,0.2513,659.87,1767.49,DERIVED_lognormal
OPA,4,PCV7,1m post primary child,2291.32,100.0,8.0,96,,,NA,NA,LEFT_NA_ceiling_or_floor
OPA,14,PCV13 (Walvax),1m post primary child,4511.21,100.0,8.0,93,,,NA,NA,LEFT_NA_ceiling_or_floor
OPA,1,PCV13 (Walvax),1m post primary child,62.13,83.87,8.0,93,2.0723,0.2149,40.77,94.67,DERIVED_lognormal
OPA,9V,PCV7,1m post primary child,1974.62,100.0,8.0,96,,,NA,NA,LEFT_NA_ceiling_or_floor
OPA,23F,PCV7,1m post primary child,5939.64,98.96,8.0,96,2.8595,0.2918,3352.25,10524.06,DERIVED_lognormal
