clinical_trial_study_name,clinical_trial_study_id,clinical_trial_sponsor,clinical_trial_responsible_party,clinical_trial_phase,location_country_code,location_continent,study_eligibility_standard_age_list,study_eligibility_ethnicity,outcome_overview_title,outcome_overview_id,outcome_overview_description,outcome_overview_time_frame,outcome_overview_assay,outcome_overview_dose_number,outcome_overview_participants,outcome_overview_serotype,outcome_overview_value,outcome_overview_upper_limit,outcome_overview_lower_limit,outcome_overview_ratio,outcome_overview_vaccine,outcome_overview_immunocompromised_population,outcome_overview_manufacturer,outcome_overview_dose_description,outcome_overview_schedule,outcome_overview_time_frame_weeks,outcome_overview_confidence_interval,outcome_overview_ci_source,outcome_overview_percent_responders
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,BE-PCV-14,,"GMC of anti-PnCPS IgG antibodies pre-booster (Day 270, prior to 9-month booster dose), PP population",Day 270 (pre-booster),GMC,2,186,5,0.65,0.79,0.54,1.07,PCV14 (PneuBevax),,Biological E,pre-boost child,2+1 child,39,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,PCV-13,,"GMC of anti-PnCPS IgG antibodies pre-booster (Day 270, prior to 9-month booster dose), PP population",Day 270 (pre-booster),GMC,2,194,5,0.61,0.75,0.51,,PCV13 (Pfizer),,Pfizer,pre-boost child,2+1 child,39,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,BE-PCV-14,,"GMC of anti-PnCPS IgG antibodies 1 month post-booster (Day 300), PP population",Day 300 (post-booster),GMC,3,186,5,1.40,1.66,1.19,0.84,PCV14 (PneuBevax),,Biological E,1m post boost child,2+1 child,43,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,PCV-13,,"GMC of anti-PnCPS IgG antibodies 1 month post-booster (Day 300), PP population",Day 300 (post-booster),GMC,3,194,5,1.66,1.97,1.41,,PCV13 (Pfizer),,Pfizer,1m post boost child,2+1 child,43,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,BE-PCV-14,,"GMC of anti-PnCPS IgG antibodies 1 month after 2nd primary dose (2p+1 schedule: primary doses at 6 & 14 weeks), PP population",Day 84 (post-primary),GMC,2,186,6A,0.84,1.04,0.68,0.30,PCV14 (PneuBevax),,Biological E,1m post primary child,2+1 child,12,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,PCV-13,,"GMC of anti-PnCPS IgG antibodies 1 month after 2nd primary dose (2p+1 schedule: primary doses at 6 & 14 weeks), PP population",Day 84 (post-primary),GMC,2,194,6A,2.82,3.44,2.31,,PCV13 (Pfizer),,Pfizer,1m post primary child,2+1 child,12,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,BE-PCV-14,,"GMC of anti-PnCPS IgG antibodies pre-booster (Day 270, prior to 9-month booster dose), PP population",Day 270 (pre-booster),GMC,2,186,6A,0.96,1.17,0.78,0.73,PCV14 (PneuBevax),,Biological E,pre-boost child,2+1 child,39,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,PCV-13,,"GMC of anti-PnCPS IgG antibodies pre-booster (Day 270, prior to 9-month booster dose), PP population",Day 270 (pre-booster),GMC,2,194,6A,1.31,1.59,1.08,,PCV13 (Pfizer),,Pfizer,pre-boost child,2+1 child,39,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,BE-PCV-14,,"GMC of anti-PnCPS IgG antibodies 1 month post-booster (Day 300), PP population",Day 300 (post-booster),GMC,3,186,6A,2.19,2.65,1.82,0.34,PCV14 (PneuBevax),,Biological E,1m post boost child,2+1 child,43,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,PCV-13,,"GMC of anti-PnCPS IgG antibodies 1 month post-booster (Day 300), PP population",Day 300 (post-booster),GMC,3,194,6A,6.36,7.68,5.27,,PCV13 (Pfizer),,Pfizer,1m post boost child,2+1 child,43,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,BE-PCV-14,,"GMC of anti-PnCPS IgG antibodies 1 month after 2nd primary dose (2p+1 schedule: primary doses at 6 & 14 weeks), PP population",Day 84 (post-primary),GMC,2,186,6B,2.50,3.19,1.97,1.49,PCV14 (PneuBevax),,Biological E,1m post primary child,2+1 child,12,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,PCV-13,,"GMC of anti-PnCPS IgG antibodies 1 month after 2nd primary dose (2p+1 schedule: primary doses at 6 & 14 weeks), PP population",Day 84 (post-primary),GMC,2,194,6B,1.68,2.14,1.33,,PCV13 (Pfizer),,Pfizer,1m post primary child,2+1 child,12,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,BE-PCV-14,,"GMC of anti-PnCPS IgG antibodies pre-booster (Day 270, prior to 9-month booster dose), PP population",Day 270 (pre-booster),GMC,2,186,6B,1.90,2.36,1.54,2.13,PCV14 (PneuBevax),,Biological E,pre-boost child,2+1 child,39,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,PCV-13,,"GMC of anti-PnCPS IgG antibodies pre-booster (Day 270, prior to 9-month booster dose), PP population",Day 270 (pre-booster),GMC,2,194,6B,0.89,1.16,0.70,,PCV13 (Pfizer),,Pfizer,pre-boost child,2+1 child,39,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,BE-PCV-14,,"GMC of anti-PnCPS IgG antibodies 1 month post-booster (Day 300), PP population",Day 300 (post-booster),GMC,3,186,6B,5.11,6.22,4.20,0.84,PCV14 (PneuBevax),,Biological E,1m post boost child,2+1 child,43,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,PCV-13,,"GMC of anti-PnCPS IgG antibodies 1 month post-booster (Day 300), PP population",Day 300 (post-booster),GMC,3,194,6B,6.11,7.44,5.02,,PCV13 (Pfizer),,Pfizer,1m post boost child,2+1 child,43,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,BE-PCV-14,,"GMC of anti-PnCPS IgG antibodies 1 month after 2nd primary dose (2p+1 schedule: primary doses at 6 & 14 weeks), PP population",Day 84 (post-primary),GMC,2,186,7F,3.16,3.73,2.68,0.83,PCV14 (PneuBevax),,Biological E,1m post primary child,2+1 child,12,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,PCV-13,,"GMC of anti-PnCPS IgG antibodies 1 month after 2nd primary dose (2p+1 schedule: primary doses at 6 & 14 weeks), PP population",Day 84 (post-primary),GMC,2,194,7F,3.82,4.46,3.28,,PCV13 (Pfizer),,Pfizer,1m post primary child,2+1 child,12,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,BE-PCV-14,,"GMC of anti-PnCPS IgG antibodies pre-booster (Day 270, prior to 9-month booster dose), PP population",Day 270 (pre-booster),GMC,2,186,7F,1.05,1.28,0.86,1.08,PCV14 (PneuBevax),,Biological E,pre-boost child,2+1 child,39,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,PCV-13,,"GMC of anti-PnCPS IgG antibodies pre-booster (Day 270, prior to 9-month booster dose), PP population",Day 270 (pre-booster),GMC,2,194,7F,0.97,1.16,0.81,,PCV13 (Pfizer),,Pfizer,pre-boost child,2+1 child,39,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,BE-PCV-14,,"GMC of anti-PnCPS IgG antibodies 1 month post-booster (Day 300), PP population",Day 300 (post-booster),GMC,3,186,7F,2.53,3.02,2.12,0.95,PCV14 (PneuBevax),,Biological E,1m post boost child,2+1 child,43,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,PCV-13,,"GMC of anti-PnCPS IgG antibodies 1 month post-booster (Day 300), PP population",Day 300 (post-booster),GMC,3,194,7F,2.67,3.09,2.31,,PCV13 (Pfizer),,Pfizer,1m post boost child,2+1 child,43,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,BE-PCV-14,,"GMC of anti-PnCPS IgG antibodies 1 month after 2nd primary dose (2p+1 schedule: primary doses at 6 & 14 weeks), PP population",Day 84 (post-primary),GMC,2,186,9V,2.61,3.09,2.20,0.92,PCV14 (PneuBevax),,Biological E,1m post primary child,2+1 child,12,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,PCV-13,,"GMC of anti-PnCPS IgG antibodies 1 month after 2nd primary dose (2p+1 schedule: primary doses at 6 & 14 weeks), PP population",Day 84 (post-primary),GMC,2,194,9V,2.83,3.38,2.37,,PCV13 (Pfizer),,Pfizer,1m post primary child,2+1 child,12,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,BE-PCV-14,,"GMC of anti-PnCPS IgG antibodies pre-booster (Day 270, prior to 9-month booster dose), PP population",Day 270 (pre-booster),GMC,2,186,9V,0.88,1.07,0.73,1.35,PCV14 (PneuBevax),,Biological E,pre-boost child,2+1 child,39,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,PCV-13,,"GMC of anti-PnCPS IgG antibodies pre-booster (Day 270, prior to 9-month booster dose), PP population",Day 270 (pre-booster),GMC,2,194,9V,0.65,0.80,0.53,,PCV13 (Pfizer),,Pfizer,pre-boost child,2+1 child,39,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,BE-PCV-14,,"GMC of anti-PnCPS IgG antibodies 1 month post-booster (Day 300), PP population",Day 300 (post-booster),GMC,3,186,9V,2.69,3.21,2.25,0.92,PCV14 (PneuBevax),,Biological E,1m post boost child,2+1 child,43,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,PCV-13,,"GMC of anti-PnCPS IgG antibodies 1 month post-booster (Day 300), PP population",Day 300 (post-booster),GMC,3,194,9V,2.93,3.46,2.47,,PCV13 (Pfizer),,Pfizer,1m post boost child,2+1 child,43,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,BE-PCV-14,,"GMC of anti-PnCPS IgG antibodies 1 month after 2nd primary dose (2p+1 schedule: primary doses at 6 & 14 weeks), PP population",Day 84 (post-primary),GMC,2,186,14,8.46,10.18,7.02,1.27,PCV14 (PneuBevax),,Biological E,1m post primary child,2+1 child,12,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,PCV-13,,"GMC of anti-PnCPS IgG antibodies 1 month after 2nd primary dose (2p+1 schedule: primary doses at 6 & 14 weeks), PP population",Day 84 (post-primary),GMC,2,194,14,6.65,8.02,5.51,,PCV13 (Pfizer),,Pfizer,1m post primary child,2+1 child,12,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,BE-PCV-14,,"GMC of anti-PnCPS IgG antibodies pre-booster (Day 270, prior to 9-month booster dose), PP population",Day 270 (pre-booster),GMC,2,186,14,4.89,5.83,4.09,1.13,PCV14 (PneuBevax),,Biological E,pre-boost child,2+1 child,39,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,PCV-13,,"GMC of anti-PnCPS IgG antibodies pre-booster (Day 270, prior to 9-month booster dose), PP population",Day 270 (pre-booster),GMC,2,194,14,4.31,5.15,3.62,,PCV13 (Pfizer),,Pfizer,pre-boost child,2+1 child,39,,,
