clinical_trial_study_name,clinical_trial_study_id,clinical_trial_sponsor,clinical_trial_responsible_party,clinical_trial_phase,location_country_code,location_continent,study_eligibility_standard_age_list,study_eligibility_ethnicity,outcome_overview_title,outcome_overview_id,outcome_overview_description,outcome_overview_time_frame,outcome_overview_assay,outcome_overview_dose_number,outcome_overview_participants,outcome_overview_serotype,outcome_overview_value,outcome_overview_upper_limit,outcome_overview_lower_limit,outcome_overview_ratio,outcome_overview_vaccine,outcome_overview_immunocompromised_population,outcome_overview_manufacturer,outcome_overview_dose_description,outcome_overview_schedule,outcome_overview_time_frame_weeks,outcome_overview_confidence_interval,outcome_overview_ci_source,outcome_overview_percent_responders
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,BE-PCV-14,,"GMC of anti-PnCPS IgG antibodies 1 month post-booster (Day 300), PP population",Day 300 (post-booster),GMC,3,186,3,0.88,0.99,0.78,1.21,PCV14 (PneuBevax),,Biological E,1m post boost child,2+1 child,43,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,PCV-13,,"GMC of anti-PnCPS IgG antibodies 1 month post-booster (Day 300), PP population",Day 300 (post-booster),GMC,3,194,3,0.73,0.81,0.65,,PCV13 (Pfizer),,Pfizer,1m post boost child,2+1 child,43,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,BE-PCV-14,,"GMC of anti-PnCPS IgG antibodies 1 month after 2nd primary dose (2p+1 schedule: primary doses at 6 & 14 weeks), PP population",Day 84 (post-primary),GMC,2,186,4,1.81,2.12,1.55,0.74,PCV14 (PneuBevax),,Biological E,1m post primary child,2+1 child,12,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,PCV-13,,"GMC of anti-PnCPS IgG antibodies 1 month after 2nd primary dose (2p+1 schedule: primary doses at 6 & 14 weeks), PP population",Day 84 (post-primary),GMC,2,194,4,2.45,2.79,2.16,,PCV13 (Pfizer),,Pfizer,1m post primary child,2+1 child,12,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,BE-PCV-14,,"GMC of anti-PnCPS IgG antibodies pre-booster (Day 270, prior to 9-month booster dose), PP population",Day 270 (pre-booster),GMC,2,186,4,0.69,0.81,0.59,1.15,PCV14 (PneuBevax),,Biological E,pre-boost child,2+1 child,39,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,PCV-13,,"GMC of anti-PnCPS IgG antibodies pre-booster (Day 270, prior to 9-month booster dose), PP population",Day 270 (pre-booster),GMC,2,194,4,0.60,0.72,0.51,,PCV13 (Pfizer),,Pfizer,pre-boost child,2+1 child,39,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,BE-PCV-14,,"GMC of anti-PnCPS IgG antibodies 1 month post-booster (Day 300), PP population",Day 300 (post-booster),GMC,3,186,4,1.99,2.31,1.72,0.88,PCV14 (PneuBevax),,Biological E,1m post boost child,2+1 child,43,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,PCV-13,,"GMC of anti-PnCPS IgG antibodies 1 month post-booster (Day 300), PP population",Day 300 (post-booster),GMC,3,194,4,2.25,2.63,1.93,,PCV13 (Pfizer),,Pfizer,1m post boost child,2+1 child,43,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,BE-PCV-14,,"GMC of anti-PnCPS IgG antibodies 1 month after 2nd primary dose (2p+1 schedule: primary doses at 6 & 14 weeks), PP population",Day 84 (post-primary),GMC,2,186,5,1.93,2.30,1.62,1.03,PCV14 (PneuBevax),,Biological E,1m post primary child,2+1 child,12,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,PCV-13,,"GMC of anti-PnCPS IgG antibodies 1 month after 2nd primary dose (2p+1 schedule: primary doses at 6 & 14 weeks), PP population",Day 84 (post-primary),GMC,2,194,5,1.88,2.27,1.55,,PCV13 (Pfizer),,Pfizer,1m post primary child,2+1 child,12,,,
