line,trial_id,serotype,assay,csv_value,old_lower,old_upper,new_lower,new_upper,old_participants,new_participants,group,schedule,month
4363,EudraCT 2012-005367-27,4,GMC,0.37,0,0,0.29,0.49,,38,PHiD-CV,2+1,0
4364,EudraCT 2012-005367-27,23F,GMC,3.62,0,0,2.76,4.76,,49,PCV13,2+1,1
4365,EudraCT 2012-005366-35,19A,GMC,0.33,0,0,0.25,0.42,,51,PHiD-CV,3+1,0
4366,EudraCT 2012-005366-35,5,GMC,1.39,0,0,1.15,1.67,,45,PCV13,3+1,1
4367,EudraCT 2012-005367-27,14,GMC,9.16,0,0,7.4,11.34,,49,PCV13,2+1,1
4368,EudraCT 2012-005367-27,6A,GMC,1.15,0,0,0.91,1.45,,49,PCV13,2+1,12
4369,EudraCT 2012-005367-27,1,GMC,4.31,0,0,3.57,5.2,,49,PCV13,2+1,1
4370,EudraCT 2012-005367-27,23F,GMC,0.34,0,0,0.25,0.46,,38,PHiD-CV,2+1,0
4371,EudraCT 2012-005367-27,3,GMC,1.17,0,0,0.9,1.51,,47,PCV13,2+1,1
4372,EudraCT 2012-005367-27,19A,GMC,8.22,0,0,6.47,10.45,,49,PCV13,2+1,1
4373,EudraCT 2012-005367-27,6A,GMC,0.87,0,0,0.64,1.18,,38,PHiD-CV,2+1,12
4374,EudraCT 2012-005367-27,6B,GMC,0.53,0,0,0.4,0.71,,38,PHiD-CV,2+1,0
4375,EudraCT 2012-005366-35,6A,GMC,0.54,0,0,0.45,0.65,,45,PCV13,3+1,0
4376,EudraCT 2012-005366-35,7F,GMC,0.69,0,0,0.56,0.85,,45,PCV13,3+1,12
4377,EudraCT 2012-005367-27,6B,GMC,5.17,0,0,4.02,6.66,,48,PCV13,2+1,1
4378,EudraCT 2012-005366-35,6A,GMC,5.82,0,0,4.83,7.02,,45,PCV13,3+1,1
4379,EudraCT 2012-005367-27,18C,GMC,0.32,0,0,0.26,0.4,,49,PCV13,2+1,12
4380,EudraCT 2012-005367-27,4,GMC,0.17,0,0,0.13,0.21,,38,PHiD-CV,2+1,12
4381,EudraCT 2012-005366-35,3,GMC,1.12,0,0,0.93,1.35,,48,PHiD-CV,3+1,1
4382,EudraCT 2012-005367-27,5,GMC,0.35,0,0,0.29,0.43,,38,PHiD-CV,2+1,12
4383,EudraCT 2012-005366-35,18C,GMC,0.46,0,0,0.34,0.62,,50,PHiD-CV,3+1,0
4384,EudraCT 2012-005367-27,9V,GMC,0.31,0,0,0.25,0.39,,38,PHiD-CV,2+1,12
4385,EudraCT 2012-005367-27,14,GMC,1.17,0,0,0.91,1.49,,49,PCV13,2+1,12
4386,EudraCT 2012-005366-35,18C,GMC,0.28,0,0,0.22,0.35,,48,PHiD-CV,3+1,12
4387,EudraCT 2012-005366-35,9V,GMC,0.35,0,0,0.27,0.47,,47,PHiD-CV,3+1,12
4388,EudraCT 2012-005367-27,19F,GMC,2.03,0,0,1.5,2.74,,38,PHiD-CV,2+1,0
4389,EudraCT 2012-005366-35,19F,GMC,0.91,0,0,0.68,1.21,,45,PCV13,3+1,12
4390,EudraCT 2012-005366-35,9V,GMC,1.72,0,0,1.34,2.2,,45,PCV13,3+1,1
4391,EudraCT 2012-005366-35,6A,GMC,0.63,0,0,0.5,0.8,,45,PCV13,3+1,12
4392,EudraCT 2012-005366-35,6A,GMC,0.27,0,0,0.2,0.35,,51,PHiD-CV,3+1,0
4393,EudraCT 2012-005367-27,6A,GMC,7.75,0,0,6.27,9.58,,49,PCV13,2+1,1
4394,EudraCT 2012-005366-35,6B,GMC,13.07,0,0,10.15,16.83,,51,PHiD-CV,3+1,1
4395,EudraCT 2012-005367-27,7F,GMC,0.64,0,0,0.51,0.8,,38,PHiD-CV,2+1,0
4396,EudraCT 2012-005367-27,3,GMC,1.1,0,0,0.79,1.54,,34,PHiD-CV,2+1,1
4397,EudraCT 2012-005366-35,14,GMC,7.6,0,0,5.93,9.75,,45,PCV13,3+1,1
4398,EudraCT 2012-005367-27,7F,GMC,0.72,0,0,0.58,0.88,,49,PCV13,2+1,0
4399,EudraCT 2012-005367-27,5,GMC,0.37,0,0,0.3,0.45,,37,PHiD-CV,2+1,0
4400,EudraCT 2012-005367-27,6A,GMC,0.24,0,0,0.17,0.34,,38,PHiD-CV,2+1,0
4401,EudraCT 2012-005367-27,5,GMC,1.28,0,0,1.04,1.59,,38,PHiD-CV,2+1,1
4402,EudraCT 2012-005366-35,19F,GMC,18.35,0,0,13.7,24.57,,51,PHiD-CV,3+1,1
4403,EudraCT 2012-005366-35,5,GMC,0.29,0,0,0.23,0.37,,45,PCV13,3+1,12
4404,EudraCT 2012-005367-27,23F,GMC,0.66,0,0,0.41,1.06,,49,PCV13,2+1,12
4405,EudraCT 2012-005367-27,19F,GMC,0.95,0,0,0.8,1.13,,49,PCV13,2+1,0
4406,EudraCT 2012-005366-35,19A,GMC,9.72,0,0,7.67,12.32,,45,PCV13,3+1,1
4407,EudraCT 2012-005366-35,18C,GMC,2.0,0,0,1.62,2.47,,45,PCV13,3+1,1
4408,EudraCT 2012-005366-35,6B,GMC,0.71,0,0,0.56,0.9,,45,PCV13,3+1,12
4409,EudraCT 2012-005367-27,6B,GMC,10.25,0,0,7.28,14.42,,38,PHiD-CV,2+1,1
4410,EudraCT 2012-005366-35,1,GMC,0.22,0,0,0.17,0.27,,51,PHiD-CV,3+1,0
4411,EudraCT 2012-005367-27,7F,GMC,0.71,0,0,0.58,0.87,,49,PCV13,2+1,12
4412,EudraCT 2012-005367-27,18C,GMC,2.23,0,0,1.73,2.88,,38,PHiD-CV,2+1,1
4413,EudraCT 2012-005366-35,1,GMC,0.28,0,0,0.23,0.35,,45,PCV13,3+1,12
4414,EudraCT 2012-005366-35,3,GMC,0.2,0,0,0.15,0.28,,44,PCV13,3+1,12
4415,EudraCT 2012-005367-27,4,GMC,0.25,0,0,0.2,0.31,,49,PCV13,2+1,12
4416,EudraCT 2012-005366-35,6B,GMC,0.37,0,0,0.29,0.47,,45,PCV13,3+1,0
4417,EudraCT 2012-005367-27,19A,GMC,1.31,0,0,1.0,1.72,,49,PCV13,2+1,12
4418,EudraCT 2012-005367-27,1,GMC,0.44,0,0,0.37,0.52,,49,PCV13,2+1,12
4419,EudraCT 2012-005366-35,5,GMC,0.3,0,0,0.25,0.36,,51,PHiD-CV,3+1,0
4420,EudraCT 2012-005366-35,14,GMC,0.87,0,0,0.66,1.13,,48,PHiD-CV,3+1,12
4421,EudraCT 2012-005366-35,7F,GMC,0.77,0,0,0.64,0.93,,45,PCV13,3+1,0
4422,EudraCT 2012-005367-27,4,GMC,2.58,0,0,2.1,3.17,,49,PCV13,2+1,1
4423,EudraCT 2012-005367-27,1,GMC,0.27,0,0,0.21,0.34,,38,PHiD-CV,2+1,0
4424,EudraCT 2012-005366-35,5,GMC,0.32,0,0,0.25,0.4,,48,PHiD-CV,3+1,12
4425,EudraCT 2012-005367-27,23F,GMC,0.2,0,0,0.15,0.26,,49,PCV13,2+1,0
4426,EudraCT 2012-005366-35,7F,GMC,4.34,0,0,3.71,5.08,,45,PCV13,3+1,1
4427,EudraCT 2012-005367-27,18C,GMC,0.28,0,0,0.22,0.35,,49,PCV13,2+1,0
4428,EudraCT 2012-005366-35,4,GMC,2.77,0,0,2.23,3.45,,45,PCV13,3+1,1
4429,EudraCT 2012-005366-35,14,GMC,1.84,0,0,1.38,2.45,,51,PHiD-CV,3+1,0
4430,EudraCT 2012-005367-27,7F,GMC,4.36,0,0,3.55,5.36,,49,PCV13,2+1,1
4431,EudraCT 2012-005367-27,9V,GMC,0.26,0,0,0.21,0.33,,38,PHiD-CV,2+1,0
4432,EudraCT 2012-005367-27,6B,GMC,0.85,0,0,0.67,1.1,,49,PCV13,2+1,12
4433,EudraCT 2012-005367-27,4,GMC,1.97,0,0,1.53,2.53,,38,PHiD-CV,2+1,1
4434,EudraCT 2012-005367-27,6B,GMC,1.06,0,0,0.8,1.41,,38,PHiD-CV,2+1,12
4435,EudraCT 2012-005367-27,3,GMC,0.35,0,0,0.26,0.47,,49,PCV13,2+1,0
4436,EudraCT 2012-005366-35,4,GMC,0.31,0,0,0.25,0.39,,51,PHiD-CV,3+1,0
4437,EudraCT 2012-005367-27,19A,GMC,0.67,0,0,0.55,0.83,,49,PCV13,2+1,0
4438,EudraCT 2012-005366-35,3,GMC,0.24,0,0,0.17,0.33,,45,PCV13,3+1,0
4439,EudraCT 2012-005366-35,6B,GMC,5.17,0,0,4.39,6.09,,45,PCV13,3+1,1
4440,EudraCT 2012-005366-35,1,GMC,3.42,0,0,2.72,4.3,,51,PHiD-CV,3+1,1
4441,EudraCT 2012-005367-27,18C,GMC,0.3,0,0,0.22,0.39,,38,PHiD-CV,2+1,12
