line,trial_id,serotype,assay,csv_value,old_lower,old_upper,new_lower,new_upper,old_participants,new_participants,group,schedule,month
4173,EudraCT 2012-005366-35,5,OPA,72.8,0,0,50.0,106.0,,46,PHiD-CV,3+1,12
4174,EudraCT 2012-005366-35,7F,OPA,585.4,0,0,455.8,751.9,,51,PHiD-CV,3+1,0
4175,EudraCT 2012-005367-27,19A,OPA,292.0,0,0,183.0,465.9,,48,PCV13,2+1,12
4176,EudraCT 2012-005367-27,6B,OPA,389.2,0,0,224.5,674.6,,38,PHiD-CV,2+1,12
4177,EudraCT 2012-005367-27,18C,OPA,490.0,0,0,276.4,868.8,,37,PHiD-CV,2+1,12
4178,EudraCT 2012-005366-35,3,OPA,128.0,0,0,92.3,177.6,,45,PCV13,3+1,1
4179,EudraCT 2012-005367-27,3,OPA,11.7,0,0,8.1,16.8,,46,PCV13,2+1,0
4180,EudraCT 2012-005367-27,19A,OPA,13.8,0,0,7.6,25.0,,38,PHiD-CV,2+1,0
4181,EudraCT 2012-005367-27,14,OPA,2598.8,0,0,1932.1,3495.4,,49,PCV13,2+1,1
4182,EudraCT 2012-005366-35,23F,OPA,159.0,0,0,79.5,317.7,,41,PCV13,3+1,0
4183,EudraCT 2012-005366-35,6B,OPA,408.6,0,0,307.9,542.3,,50,PHiD-CV,3+1,0
4184,EudraCT 2012-005366-35,6C,OPA,189.3,0,0,92.8,386.3,,42,PCV13,3+1,0
4185,EudraCT 2012-005367-27,9V,OPA,2305.9,0,0,1797.8,2957.5,,38,PHiD-CV,2+1,1
4186,EudraCT 2012-005367-27,4,OPA,31.1,0,0,15.1,64.4,,36,PHiD-CV,2+1,12
4187,EudraCT 2012-005367-27,4,OPA,1372.1,0,0,1067.6,1763.4,,38,PHiD-CV,2+1,1
4188,EudraCT 2012-005366-35,6A,OPA,525.5,0,0,349.2,790.9,,44,PCV13,3+1,0
4189,EudraCT 2012-005367-27,6B,OPA,236.5,0,0,144.3,387.7,,49,PCV13,2+1,12
4190,EudraCT 2012-005366-35,9V,OPA,157.6,0,0,84.4,294.5,,41,PCV13,3+1,0
4191,EudraCT 2012-005367-27,14,OPA,361.4,0,0,256.1,510.1,,47,PCV13,2+1,12
4192,EudraCT 2012-005367-27,23F,OPA,788.1,0,0,454.1,1367.6,,48,PCV13,2+1,12
4193,EudraCT 2012-005367-27,18C,OPA,2270.4,0,0,1741.1,2960.5,,49,PCV13,2+1,1
4194,EudraCT 2012-005366-35,19A,OPA,266.9,0,0,150.0,475.2,,47,PHiD-CV,3+1,12
4195,EudraCT 2012-005366-35,23F,OPA,68.1,0,0,36.3,127.8,,49,PHiD-CV,3+1,0
4196,EudraCT 2012-005367-27,6A,OPA,5991.7,0,0,3965.5,9053.2,,49,PCV13,2+1,1
4197,EudraCT 2012-005367-27,19A,OPA,1861.4,0,0,1361.6,2544.5,,38,PHiD-CV,2+1,1
4198,EudraCT 2012-005367-27,19A,OPA,2337.1,0,0,1865.1,2928.7,,49,PCV13,2+1,1
4199,EudraCT 2012-005367-27,7F,OPA,2792.3,0,0,2229.7,3496.8,,38,PHiD-CV,2+1,1
4200,EudraCT 2012-005367-27,6B,OPA,358.5,0,0,200.4,641.3,,36,PHiD-CV,2+1,0
4201,EudraCT 2012-005367-27,4,OPA,43.2,0,0,27.2,68.5,,47,PCV13,2+1,0
4202,EudraCT 2012-005366-35,3,OPA,12.5,0,0,8.6,18.3,,40,PHiD-CV,3+1,12
4203,EudraCT 2012-005367-27,7F,OPA,4801.4,0,0,3698.7,6232.8,,49,PCV13,2+1,1
4204,EudraCT 2012-005366-35,19F,OPA,192.7,0,0,122.4,303.5,,51,PHiD-CV,3+1,0
4205,EudraCT 2012-005367-27,3,OPA,16.3,0,0,10.6,25.1,,40,PCV13,2+1,12
4206,EudraCT 2012-005366-35,6C,OPA,1031.1,0,0,707.0,1503.7,,42,PCV13,3+1,12
4207,EudraCT 2012-005367-27,14,OPA,340.7,0,0,226.5,512.4,,49,PCV13,2+1,0
4208,EudraCT 2012-005367-27,6A,OPA,34.6,0,0,15.3,77.9,,36,PHiD-CV,2+1,0
4209,EudraCT 2012-005367-27,7F,OPA,1781.5,0,0,1405.7,2257.8,,49,PCV13,2+1,12
4210,EudraCT 2012-005367-27,6A,OPA,6389.4,0,0,4690.2,8704.2,,38,PHiD-CV,2+1,1
4211,EudraCT 2012-005367-27,1,OPA,7.7,0,0,5.4,10.8,,37,PHiD-CV,2+1,0
4212,EudraCT 2012-005367-27,6A,OPA,119.9,0,0,70.5,203.8,,47,PCV13,2+1,0
4213,EudraCT 2012-005366-35,14,OPA,576.3,0,0,436.0,761.6,,48,PHiD-CV,3+1,12
4214,EudraCT 2012-005367-27,6C,OPA,1171.8,0,0,602.7,2278.1,,38,PHiD-CV,2+1,1
4215,EudraCT 2012-005366-35,6C,OPA,635.1,0,0,310.3,1300.1,,41,PHiD-CV,3+1,12
4216,EudraCT 2012-005366-35,9V,OPA,2078.7,0,0,1664.4,2596.1,,51,PHiD-CV,3+1,1
4217,EudraCT 2012-005366-35,4,OPA,3455.1,0,0,2672.6,4466.7,,45,PCV13,3+1,1
4218,EudraCT 2012-005366-35,14,OPA,706.9,0,0,453.2,1102.6,,44,PCV13,3+1,12
4219,EudraCT 2012-005366-35,19F,OPA,586.7,0,0,427.2,805.8,,48,PHiD-CV,3+1,12
4220,EudraCT 2012-005366-35,7F,OPA,901.6,0,0,665.3,1222.0,,47,PHiD-CV,3+1,12
4221,EudraCT 2012-005367-27,9V,OPA,679.6,0,0,419.2,1101.9,,47,PCV13,2+1,12
4222,EudraCT 2012-005366-35,19F,OPA,267.5,0,0,143.2,499.5,,39,PCV13,3+1,12
4223,EudraCT 2012-005367-27,14,OPA,1492.7,0,0,1158.4,1923.4,,38,PHiD-CV,2+1,1
4224,EudraCT 2012-005367-27,19F,OPA,41.1,0,0,27.3,61.9,,48,PCV13,2+1,0
4225,EudraCT 2012-005366-35,7F,OPA,6281.4,0,0,4528.6,8712.5,,45,PCV13,3+1,1
4226,EudraCT 2012-005366-35,4,OPA,72.3,0,0,46.1,113.3,,49,PHiD-CV,3+1,0
4227,EudraCT 2012-005367-27,7F,OPA,857.1,0,0,554.2,1325.7,,38,PHiD-CV,2+1,12
4228,EudraCT 2012-005366-35,18C,OPA,2552.4,0,0,2002.4,3253.5,,45,PCV13,3+1,1
4229,EudraCT 2012-005366-35,18C,OPA,104.6,0,0,59.9,182.5,,44,PCV13,3+1,0
4230,EudraCT 2012-005366-35,5,OPA,671.2,0,0,528.4,852.5,,51,PHiD-CV,3+1,1
4231,EudraCT 2012-005366-35,19A,OPA,13.4,0,0,8.6,20.7,,50,PHiD-CV,3+1,0
4232,EudraCT 2012-005366-35,19F,OPA,3868.0,0,0,3045.0,4913.3,,51,PHiD-CV,3+1,1
4233,EudraCT 2012-005366-35,5,OPA,22.2,0,0,16.3,30.4,,43,PCV13,3+1,0
4234,EudraCT 2012-005366-35,4,OPA,1691.3,0,0,1366.1,2093.9,,51,PHiD-CV,3+1,1
4235,EudraCT 2012-005367-27,23F,OPA,5238.2,0,0,3985.7,6884.4,,49,PCV13,2+1,1
4236,EudraCT 2012-005366-35,4,OPA,112.2,0,0,57.6,218.6,,43,PCV13,3+1,12
4237,EudraCT 2012-005366-35,19F,OPA,47.5,0,0,28.8,78.3,,43,PCV13,3+1,0
4238,EudraCT 2012-005366-35,6C,OPA,24.3,0,0,11.6,50.8,,49,PHiD-CV,3+1,0
4239,EudraCT 2012-005366-35,18C,OPA,185.4,0,0,110.0,312.5,,51,PHiD-CV,3+1,0
4240,EudraCT 2012-005367-27,9V,OPA,44.3,0,0,27.4,71.8,,46,PCV13,2+1,0
4241,EudraCT 2012-005366-35,7F,OPA,3130.4,0,0,2605.1,3761.6,,51,PHiD-CV,3+1,1
4242,EudraCT 2012-005367-27,19A,OPA,204.8,0,0,117.1,358.2,,36,PHiD-CV,2+1,12
4243,EudraCT 2012-005366-35,6B,OPA,5577.0,0,0,4388.4,7087.6,,45,PCV13,3+1,1
4244,EudraCT 2012-005367-27,9V,OPA,526.4,0,0,336.6,823.1,,38,PHiD-CV,2+1,12
4245,EudraCT 2012-005367-27,6C,OPA,457.5,0,0,239.0,875.7,,45,PCV13,2+1,12
