line,nct_id,serotype,assay,dose_number,vaccine,value,old_lower,old_upper,new_lower,new_upper,source_table
3254,NCT03512288,11A,OPA,3,PCV13,19.89999999999999857891452847979962825775146484375,NA,NA,14.6,27.2,Table 4 (7 additional serotypes)
3255,NCT03512288,7F,OPA,3,PCV13,1390.700000000000045474735088646411895751953125,NA,NA,1040.6,1858.4,Table 3 (13 matched serotypes)
3256,NCT03512288,23F,OPA,3,PCV13,268.19999999999998863131622783839702606201171875,NA,NA,157,458.3,Table 3 (13 matched serotypes)
3257,NCT03512288,15B,OPA,3,PCV13,22.800000000000000710542735760100185871124267578125,NA,NA,17.4,29.9,Table 4 (7 additional serotypes)
3258,NCT03512288,19A,OPA,3,PCV20,105.2999999999999971578290569595992565155029296875,NA,NA,73.2,151.4,Table 3 (13 matched serotypes)
3259,NCT03512288,18C,OPA,3,PCV13,1491.700000000000045474735088646411895751953125,NA,NA,1070.7,2078.2,Table 3 (13 matched serotypes)
3260,NCT03512288,19F,OPA,3,PCV20,90.900000000000005684341886080801486968994140625,NA,NA,66.2,124.8,Table 3 (13 matched serotypes)
3261,NCT03512288,22F,OPA,3,PCV13,11.0999999999999996447286321199499070644378662109375,NA,NA,8.6,14.1,Table 4 (7 additional serotypes)
3262,NCT03512288,12F,OPA,3,PCV20,6084.899999999999636202119290828704833984375,NA,NA,4578.8,8086.4,Table 4 (7 additional serotypes)
3263,NCT03512288,19A,OPA,3,PCV13,157.19999999999998863131622783839702606201171875,NA,NA,105.1,235.3,Table 3 (13 matched serotypes)
3264,NCT03512288,10A,OPA,3,PCV20,1846.700000000000045474735088646411895751953125,NA,NA,1347.6,2530.5,Table 4 (7 additional serotypes)
3265,NCT03512288,7F,OPA,3,PCV20,1480.40000000000009094947017729282379150390625,NA,NA,1155.5,1896.6,Table 3 (13 matched serotypes)
3266,NCT03512288,22F,OPA,3,PCV20,6304,NA,NA,4430.3,8970.1,Table 4 (7 additional serotypes)
3267,NCT03512288,23F,OPA,3,PCV20,234.099999999999994315658113919198513031005859375,NA,NA,158,346.7,Table 3 (13 matched serotypes)
3268,NCT03512288,14,OPA,3,PCV13,456.8999999999999772626324556767940521240234375,NA,NA,310,673.4,Table 3 (13 matched serotypes)
3269,NCT03512288,19F,OPA,3,PCV13,121.2000000000000028421709430404007434844970703125,NA,NA,91.3,160.9,Table 3 (13 matched serotypes)
3270,NCT03512288,33F,OPA,3,PCV13,60.7000000000000028421709430404007434844970703125,NA,NA,39.5,93.3,Table 4 (7 additional serotypes)
3271,NCT03512288,6B,OPA,3,PCV13,668.799999999999954525264911353588104248046875,NA,NA,474.8,942.2,Table 3 (13 matched serotypes)
3272,NCT03512288,6B,OPA,3,PCV20,432.6000000000000227373675443232059478759765625,NA,NA,287,652.2,Table 3 (13 matched serotypes)
3273,NCT03512288,10A,OPA,3,PCV13,36.7999999999999971578290569595992565155029296875,NA,NA,31.6,42.8,Table 4 (7 additional serotypes)
3274,NCT03512288,1,OPA,3,PCV13,31.300000000000000710542735760100185871124267578125,NA,NA,22.8,43,Table 3 (13 matched serotypes)
3275,NCT03512288,14,OPA,3,PCV20,606.8999999999999772626324556767940521240234375,NA,NA,400.9,918.7,Table 3 (13 matched serotypes)
3276,NCT03512288,11A,OPA,3,PCV20,423.8999999999999772626324556767940521240234375,NA,NA,287,626.3,Table 4 (7 additional serotypes)
